Sub-Organización,N° Movimiento,Ingreso ELO,Ingreso SIF,Documento,N° Documento,Cuenta,Abono,Cargo
PROMOCION ELO OPERACIONES,10405,22/10/2025,,11130,6190,TRANSPORTE,0,11130
PROMOCION ELO OPERACIONES,10407,22/10/2025,,0,6,CONSULTORIAS Y ASESORIAS,0,90000
PROMOCION ELO OPERACIONES,10408,22/10/2025,,306732,306732,INSUMOS ALIMENTICIOS,0,306732
D OP. LIBRE DISPOSICION,10389,20/10/2025,,0,1904,SERVICIOS DE BANQUETERIA,0,585837
D OP. LIBRE DISPOSICION,10390,20/10/2025,,0,1260,TRANSPORTE,0,350000
Materiales de Oficina,10392,20/10/2025,,0,F. 270,INSUMOS ALIMENTICIOS,0,5600
Materiales de Oficina,10393,20/10/2025,,0,F. 2234,INSUMOS ELECTRICOS Y ELECTRONICOS,0,231400
Materiales de Oficina,10395,20/10/2025,,0,F. 2244,ARTICULOS DE LIBRERIA,0,164756
Materiales de Oficina,10396,20/10/2025,,0,F. 64900,INSUMOS ALIMENTICIOS,0,53293
Materiales de Oficina,10397,20/10/2025,,0,F. 13395,SERVICIOS DE BANQUETERIA,0,44500
Materiales de Oficina,10398,20/10/2025,,0,F. 681,INSUMOS ALIMENTICIOS,0,260000
Materiales de Oficina,10400,20/10/2025,,0,F. 13266,SERVICIOS DE BANQUETERIA,0,48000
Materiales de Oficina,10401,20/10/2025,,0,F. 245,INSUMOS ALIMENTICIOS,0,19600
PROMOCION TEL OPERACIONES,10379,15/10/2025,,0,RGTOS N°01,ARTICULOS DE LIBRERIA,0,381990
PROMOCION TEL OPERACIONES,10380,15/10/2025,,0,4ta. Planilla Beca Ayudantía,BECA AYUDANTIAS USM,0,1480000
PROMOCION ELO OPERACIONES,10382,15/10/2025,,0,PPAA,BECA AYUDANTIAS USM,0,1550000
PROMOCION ELO OPERACIONES,10383,15/10/2025,,191725,191725,INSUMOS ALIMENTICIOS,0,191725
PROMOCION ELO OPERACIONES,10384,15/10/2025,,4,4,BECA AYUDANTIAS USM,0,11696
PROMOCION ELO OPERACIONES,10385,15/10/2025,,46,46,CONSULTORIAS Y ASESORIAS,0,30000
PROMOCION ELO OPERACIONES,10386,15/10/2025,,22,22,CONSULTORIAS Y ASESORIAS,0,116960
PROMOCION ELO OPERACIONES,10387,15/10/2025,,2,2,CONSULTORIAS Y ASESORIAS,0,85875
PROMOCION TEL OPERACIONES,10372,09/10/2025,,0,F. 2224,MERCHANDISING,0,199801
PROMOCION TEL OPERACIONES,10373,09/10/2025,,0,F.2248,INSUMOS ELECTRICOS Y ELECTRONICOS,0,167082
